,Author Name,Review Date,Reviewer Ratings,Review Body,Developer Reply,Review Likes
56,哈嘯,2019年6月4日,5, eats-161n04,,0
57,宥宥,2019年6月5日,5, 很方便，讚,,0
58,蔡欣惠,2019年6月4日,5, 很滿意,,0
59,HUNG LIN,2019年6月2日,5, 好用,,0
60,小祖宗,2019年6月3日,1, 難用,,0
61,彥斌黃,2019年6月4日,5, 好用,,0
62,李歐,2019年6月4日,5, 讚啦,,0
63,陳寶章,2019年6月4日,5, 快速，滿意,,0
64,強壯猛男人K,2019年6月2日,5, 好用唷～,,0
65,廖映晴,2019年6月5日,3, 爛透了，飲料無法訂購==,,0
66,林煒庭,2019年6月3日,1, 信用卡🙄,,0
67,Simon Fan,2019年6月3日,1, 垃圾,,0
68,陳柏勛,2019年6月2日,5, 方便,,0
69,王小玲,2019年6月4日,5, 好,,0
70,許崇維,2019年6月3日,5, 讚,,0
71,席洛菲,2019年6月2日,5, 讚,,0
72,硬漢喵老大,2019年6月2日,1, 爛,,0
73,韋桐桐,2019年6月5日,5, 方便,,0
74,minions Bob,2019年6月5日,5, 棒,,0
75,Fei Yin Cheung,2019年6月2日,5, 1/5OO,,0
76,張振豪,2019年5月29日,1, 爛透了，信卡綁定不能刪。,,6
77,月光遊玩頻道,2019年6月3日,5, 一堆傻B，都在用自我中心到想法看待外送，金額不一樣是店家被抽成35%所以當然會比較貴。還有兩手機運費價格不一樣，妳當外送員人都一樣遠是嗎拉。,,0
78,Po Po Chen,2019年5月29日,5, 很方便,,5
79,sam g,2019年6月1日,2, 餐點等了一個多小時沒收到，確顯示訂單完成，送餐人員還需要加強管理 介面設計也不知按哪裡取得協助，如果是信用卡付款的，沒收到餐點，還要處理退款，浪費時間,,1
80,LEMON LEE,2019年5月29日,2, 看下#873CF這筆訂單的配送順序及路徑規劃吧 可以這樣繞一大圈的？ 嚴重超時 收到都冷了 app也沒客服方式 太失望了,,9
81,鄒皓年,2019年5月31日,1, 一堆優會卷無法選擇使用那張，換到別隻手機也無法，帳號就這樣不能選有夠爛,,1
82,黃信源,2019年5月26日,5, 1.想加入當司機注冊記得填寫推薦碼 「 E3V1DPCAUE 」，即可享有新司機獎金「2千元」自行加入則「無獎金」 2.有任何新司機的問題，都可以直接加line ，id是stanly6136,,306
83,國手翔,2019年5月27日,3, 提供說有60元的折扣優惠，結果優惠點選了，訂餐後的價格是沒優惠的，刷卡後也確定沒有吃到優惠,,7
84,小圈,2019年5月30日,5, 這麼方便還不快快來使用~趕快輸入邀請碼“eats-w3co2d”就可以得到首2次80元的折扣呦！,,2
85,唐歿,2019年5月25日,1, 一進去就要人輸入電話號碼，輸入完再說密碼不正確或是信箱未連結。廢話我都還沒註冊怎麼可能有連結，完全不給註冊啊,,58
86,陳健明,2019年5月25日,3, 等餐等很久，定位不準確，送餐人員常找不到！桃園區慈文路跟縣府路會不會差太遠？,,5
87,黃柏勝,2019年5月27日,1, 點進去說地區沒有外送， 連美食都看不到就叫你輸入外送的地址有沒有搞錯啊,,7
88,Flora Chow,2019年5月27日,1, 揀完食物後，話太遠，唔送，十分鐘車程都算遠? 搞錯呀，點做外賣呀，浪費時間,,2
89,楊潔寶,2019年5月25日,1, 一直無法收到驗證碼試了許多次都還是收不到怎麼回事呢？,,3
90,江俊慶,2019年5月25日,2, 首次註冊登入 首次購物七折優惠首免運都說我已經使用過了，是見鬼了嗎！,,12
91,Kevin Yang,2019年5月28日,1, 一進去就要手機門號，連裏面有什麽店家，自己活動的區域內有沒送餐都不清楚就強迫註冊，觀感太差！,,32
92,黃慶仁,2019年5月25日,1, 根本收不到代碼 試了2隻手機 都不能是公司不希望增加客戶了是嗎？,,11
93,玉兔,2019年5月26日,1, 7折不給用 10秒內取消還要追加,,1
94,陳欣玥,2019年5月29日,1, 一顆星都不想給 進去輸入地址 直接說不在服務範圍內 連用都不讓人用 那還給什麼星 直接刪除,,3
95,chongyi chen,2019年5月24日,1, 送餐到我們社區後就到處亂竄，問住戶有沒有房子要委賣的，發生事情，uber eat負責賠償嗎？我們社區今天開始不准uber eat送餐進去，只能待在門口櫃台，等住戶出來領。,,8
96,林登飛,2019年6月4日,1, 明明我地址打好好的按確認後地址就自動改變了導致我每次點外送都送到其他地址害我還要自己從6樓走下去在走一段路去取餐第一次遇到此問題,,0
97,馮星瑋,2019年6月2日,5, 非常方便好用 歡迎大家使用我的推薦代碼 eats-dfn4ha 可以讓你前兩筆訂單省80元唷 非常划算,,0
98,王紹安,2019年5月24日,1, 確定電話沒問題但怎麼樣都收不到確認碼,,7
99,張炳紳,2019年5月25日,1, 體驗極差，打了優惠碼都說無法使用！,,5
100,蘇燦,2019年5月31日,5, 一個人顧店無法外出購買。動動手指就能有非常多選擇。比自己搭車去買還省時。運費也很合理,,0
101,Chen Red,2019年6月1日,2, 手動輸入地址定位還是跳到別的住處,,1
102,劉筱文,2019年5月26日,4, 有時系統會當,,0
103,怡玲王,2019年6月1日,1, 每次簡訊或mail收到有優惠通知，但是帳戶確沒有，感覺很爛耶~給的很不甘脆，別間都整月免運了,,0
104,陳淑君,2019年6月1日,1, 真的很爛的app，一開啟要輸入電話傳送驗證碼，等候秒數也太快吧！接下來就完全無法再使用了，重新發送都沒訊息，火大解除了，真爛！,,0
105,假克斯,2019年5月25日,1, 垃圾程式，驗證碼都收不到，用三小,,1
106,Ti Ti,2019年5月27日,1," 優惠限制嚴格根本不想讓人使用優惠,限制信用卡,限制手機?限制門號?限制IP?要鎖帳號優惠什麼都說的出,還強綁信用卡不能刪除,陌視個資,還沒看過其他家這麼做的",,10
107,米米洛,2019年6月1日,1, 很爛的體驗，感覺糟糕的系統，申請才使用5天，叫沒幾次外送，也有現金交易，帳號就莫名被系統停用了，不想賺客人運費的話，還是早早刪掉這app好了。,,0
108,咩咩,2019年5月28日,4, 輸入eats-jxcr89優惠首兩筆訂單80🙏🙏🙏優惠，在輸入eatstw可在獲得100優惠 app一定要綁卡有點麻煩，優惠不要先輸入，要訂購在輸入，不然會一直跳已使用(つд⊂),,1
109,Andu Hsi,2019年5月26日,1, 怎麼完全不給人登入，一直強迫創新帳號，阿就信箱重複阿，還是用別家好了,,2
110,09 2,2019年6月3日,1, 極度糟糕的用戶體驗，遇到問題永遠找不到連絡客服的選項，強迫一定要留信用卡資料無法刪除，連刪除帳號都很難。請三思，還有很多很方便也不強迫綁信用卡的外送。,,0
111,Chen Cleveland,2019年5月26日,1, 都取消訂單也沒吃到東西還要白付189元 會不會太扯...,,2
112,Amy Cheng,2019年5月30日,3, app因為資料整理而清空訂單，又要花時間重新下訂，對忙碌的人是種負擔,,0
113,Wei Jian Tan,2019年5月31日,1, Order the food on 9 9.15 the map show up food pick up To 9.50 uber Eats call your food get cancel What happens to uber Eats now?,,0
114,陳碧有,2019年5月26日,5, Hi 馬上輸入優惠碼 eats-o5krvh ，馬上送你兩次80元免費優惠，歡迎加入ubereats大家庭,,1
115,Memoon Cheung,2019年5月28日,1, 為何只叫你打地址那一頁面，不能退出，又無餐飲頁面出現，個人資料取了，可否有關人仕回應我的情況呢？,,1
116,JOJO HUANG,2019年5月31日,3, 一直顯示說我的手機已經設定不接受Uber訊息 到底怎麼回事,,0
117,Kelly Hsu,2019年5月27日,5, 整體來說很棒很方便，但地址一直無法完整的輸入進去，之後要更改地址也有些困難。,,1
118,ckck0921,2019年5月30日,3, 外送費都漲價了，服務品質也一般，調漲的根據是什麼？運送範圍嗎？有些店家也不見了，老在系統更新，訂完餐好一陣才通知無法訂餐...總之沒有之前的好用。,,0
119,黃于倩,2019年6月2日,3, 很方便 但輸入兩件免運的優惠券 怎麼按輸入都無法使用 （店家有標示兩件免運）,,0
120,楊阿咩,2019年5月29日,1, 爛透了。同一時間、地點、買同品項，竟然運費不同，也不公告。 一下說測試、一下卻說特地的族群有特地的消費！所以我們倒楣。消費者也有高低區分！ 已經客訴了，卻無法得到什麼結果。倒楣的只是辛苦的外送員,,0
121,Leevan Xie,2019年6月2日,1, 相同地點使用不同手機訂餐，服務費卻不同，客服給的回應又官腔無法解決問題，令人失望！,,0
122,洪佩菁,2019年5月24日,5, eats-60ganj 優惠碼不多說😘,,1
123,顏世璿,2019年5月28日,1, 完全無法用任何支付，連現金都說錯誤要問銀行如何支付，請問我是要問中央銀行嗎？,,0
124,qqbqe q,2019年5月30日,5, 輸入邀請碼【eats-411c9e】就送多張免費餐卷超過100元🤗，目前有的優惠整理->輸入【ONLY7】 全面7折，所有用戶輸入【pair0422】2件免運，人氣飲品甜點類【5SWEET 】限時5折，快來體驗吧 o(*￣▽￣*)ブ,,13
125,李貓爪,2019年5月29日,5, 好用，但是優惠序號很少,,1
126,shao-frng Tsai,2019年5月27日,1, 信用卡掛上去以後不給刪，不用軟體信用卡還強迫掛在上面，資安爛到不行,,1
127,許紘瑞,2019年5月25日,5, 很棒，送貨迅速，取貨方便 優惠代碼 eats-41861s 大家可以用這個代碼抵運費~,,3
128,蔡政鋼,2019年5月26日,4, 你好 我的系統出了一點問題 明明地址就是打28號 但後來一直定位出38號 可以幫忙改善嗎,,0
129,KEEN HUANG,2019年5月26日,5, 輸入優惠代碼 eats-k9evql 立即享首2筆訂單折扣80元,,1
130,陳耀峰,2019年5月30日,4, 永和全部不能外送 上面還寫測試店家,,4
131,黃行雲,2019年5月26日,4, eats-50ix59 優惠序號，歡迎使用喔,,0
132,劉家宇,2019年5月26日,1, 無法更改點餐地址，app裡也找不到可以反應的地方,,2
133,蛙娃,2019年6月1日,1, 爛App ，地址輸入5次還是不能收尋附近區域，這工程師是在混嗎？,,0
