,Author Name,Review Date,Reviewer Ratings,Review Body,Developer Reply,Review Likes
62,梁映敏,2019年5月6日,4, 很方便,,0
63,廖士傑,2019年5月9日,5, 很好吃,,0
64,sky912812,2019年5月10日,5, 非常好,,0
65,陳勝鴻,2019年5月21日,5, 很方便,,0
66,忞慈李,2019年5月4日,5, 方便，快速,,0
67,Enzo Cheng,2019年5月15日,5, 好用~,"有無科技2018年3月5日Dear Enzo,

(,,・ω・,,)",0
68,廖淑瑤,2019年5月13日,5, 快速.準時.,,0
69,Bao kuan Chiu,2019年5月16日,5, 很棒哦,"有無科技2018年2月4日Dear Bao kuan，

非常感謝你的支持與愛護ლ(・´ｪ`・ლ)
如果有任何建議(´▽`ʃ♡ƪ)""
一定要跟小編說｡:.ﾟヽ(*´∀`)ﾉﾟ.:｡",1
70,kai wei,2019年4月30日,5, 棒,,0
71,哈勇宜宛,2019年5月1日,5, 讚,,1
72,景李,2019年5月5日,5, 讚,,0
73,Jimmy Chen,2019年5月7日,5, 好用,,0
74,lashbalori phoebe,2019年5月8日,5, go,,0
75,Jinelove Lin,2019年5月12日,5, 讚,,0
76,林昇旭,2019年5月14日,5, 讚,,0
77,chen alex,2019年5月14日,5, 不錯,,0
78,林嘉祝,2019年5月19日,5, 讚,,0
79,王Sonia,2019年5月1日,5, 😘,,0
80,林鈺祥,2019年5月5日,5, ♥,,0
81,詹小魚,2019年4月26日,4, 希望可以優化揪團，讓其他訂購人可以直接選取商品後加入即可，不用再輸入驗證碼或是資料,,6
82,About__ Kira,2019年4月21日,4, 希望地圖回來，有地圖可以提早做準備下樓領取餐點，替自己跟外送員節省時間ಠ~ಠ,有無科技2019年4月24日摁摁！編會將您的建議轉給相關單位參考,2
83,張婕妤,2019年4月8日,2, 為什麼 運費漲價了 30變39 未滿百 就139 滿百就149 我1個人也點不了599阿 還是說 這只是因為節日關係 所以 未改回 還是已經固定了 如果 真的固定 那我就真的沒辦法繼續用了,有無科技2019年4月16日您好 運費部分於4/1起調漲為39元喔,10
84,shangwen lee,2019年4月15日,1, app裝了半年多，五股區還沒支援外送，除了釋放手機空間外，想不到這app好用在哪！？根本沒體驗到，可惜還得給星，0 體驗應該是 0 顆星，掰,有無科技2019年4月16日不好意思～目前仍採開放部分區域唷！,2
85,minchun Yu,2019年4月13日,3, 沒有路線圖，另一家餐點晚送出都到了！另一家飲料比餐點晚到了25分鐘！我在樓下罰站了25分才到，早知道先上樓吃飯。,有無科技2019年4月16日您好 可以透過LINE@請小編確認訂單狀態唷！地圖部分是近期撤掉的～造成您的困擾很抱歉,0
86,Penny Lin,2019年3月29日,2, 外送訂單協調方面可以再進步,有無科技2019年3月29日好的～編會轉給相關單位😌若有任何不足的地方可至LINE@跟編反應唷,1
87,李書品,2019年4月4日,5, 非常方便，大推，只是淡水紅樹林這區，配合的店家少了些，加油，有更多店家加入會更棒。,有無科技2019年4月6日您好～有喜歡的店家可以推薦給我們唷(˶‾᷄ ⁻̫ ‾᷅˵),1
88,意隨,2019年4月7日,1, 5星很簡單 便宜免運就有了,有無科技2019年4月6日ಥ_ಥ,0
89,許琬顰,2019年4月8日,5, 外送人員親切 送餐速度快 還可以貨到付款 值得推薦,,1
90,林美琳,2019年4月28日,5, 快速服務好,,0
91,陳槑,2019年4月4日,1, 士林區 無外送服務,有無科技2019年4月4日您好 目前皆採部分開放唷~,1
92,許哲維,2019年3月30日,5, 快輸入我的優惠碼85899389 首購折抵NT$100優惠券,,17
93,張曼瑄,2019年4月24日,5, 在家叫外送好輕鬆～快輸入我的優惠碼84343520就可獲得《有無外送》首購折抵NT$100優惠券，兌換後30天內都可以使用，快來訂餐享好康！(限北北桃地區),,0
94,L苡苡,2019年4月10日,5, 有無確實挺方便，淡水店家也比較多。完勝熊貓等等外送品牌,,0
95,Daniel Chin,2019年4月3日,5, 北藝大地區附近目前少數可以用的外送App,,3
